Designator,Mid X,Mid Y,Rotation,Layer
C1,113.93,-108.83,180,bottom
C2,113.93,-111.29,0,bottom
C3,113.92,-113.77,0,bottom
C5,131.32,-116.61,-90,bottom
C6,128.92,-116.605,-90,bottom
C7,126.49,-116.605,-90,bottom
C8,124.06,-116.635,-90,bottom
CD4,112.12875,-65.285,90,bottom
D00_1,127.14,-90.7,-90,bottom
D00_2,141.08,-90.59,-90,bottom
D00_3,157.93,-90.66,-90,bottom
D01_1,123.18,-90.7,-90,bottom
D01_2,137.04,-90.67,-90,bottom
D01_3,154.02,-90.61,-90,bottom
D02_1,119.38,-90.64,-90,bottom
D02_2,132.92,-90.67,-90,bottom
D02_3,150.21,-90.65,-90,bottom
DD1,114.28875,-68.445,0,bottom
FD1,132.045,-65.795,-90,bottom
JD1,122.115,-59.345,180,bottom
R2,149.55,-107.12,180,bottom
R3,149.54,-109.52,0,bottom
R4,149.5575,-104.71,180,bottom
R5,149.53,-111.99,0,bottom
R6,113.24875,-70.315,0,bottom
R7,129.725,-68.725,-90,bottom
RD1,114.45875,-65.275,90,bottom
RESET_SW1,158.5675,-109.98,0,bottom
U1,127.09,-109.22,90,bottom
UD1,129.5,-64.885,-90,bottom
Y1,119.72,-109.96,90,bottom
